order_purchase_timestamp,total_sales,total_items,total_orders,day_of_week,month,quarter,is_weekend,is_holiday,total_sales_lag_1,total_sales_lag_7,total_sales_lag_14,total_sales_lag_30,total_sales_rolling_avg_7,total_sales_rolling_std_7,total_sales_rolling_avg_30,total_sales_rolling_std_30
2017-07-24,18212.72,176,158,0,7,3,0,0,12117.61,21554.98,17326.93,8325.65,16763.53,5784.146328698825,15659.413333333332,4319.05889390057
2017-07-25,17070.12,169,149,1,7,3,0,0,18212.72,28238.2,19973.79,17646.18,15168.09,2925.3500296204106,15640.211333333333,4311.194778584554
2017-07-26,11097.25,144,121,2,7,3,0,0,17070.12,16545.34,19042.22,13414.76,14389.79142857143,3208.8605676025327,15562.961,4372.770161867607
2017-07-27,15693.93,138,123,3,7,3,0,0,11097.25,17974.18,14465.01,16681.61,14064.041428571427,2883.5990647940503,15530.038333333334,4367.772682608998
2017-07-28,20043.16,153,132,4,7,3,0,0,15693.93,12799.85,18745.15,14655.82,15098.800000000001,3571.821739066328,15709.616333333333,4440.729474645978
2017-07-29,15814.28,129,114,5,7,3,1,0,20043.16,11456.81,10930.56,12169.53,15721.295714285716,3190.683763818558,15831.108000000002,4390.107241743607
2017-07-30,12944.87,130,117,6,7,3,1,0,15814.28,12117.61,13027.62,12736.89,15839.475714285712,3047.047771121312,15838.040666666668,4385.213984993862
2017-07-31,17146.08,164,145,0,7,3,0,0,12944.87,18212.72,21554.98,12151.75,15687.098571428573,2933.126758287319,16004.518333333333,4334.957076289169
2017-08-01,21745.04,185,165,1,8,3,0,0,17146.08,17070.12,28238.2,11459.45,16354.944285714286,3725.658247759092,16347.371333333334,4369.696707724086
2017-08-02,17999.35,169,152,2,8,3,0,0,21745.04,11097.25,16545.34,16569.25,17340.95857142857,2930.8226383357,16395.041333333334,4379.989217089336
2017-08-03,18985.61,165,145,3,8,3,0,0,17999.35,15693.93,17974.18,15484.24,17811.198571428573,2886.24968969209,16511.753666666667,4401.479745683095
2017-08-04,18361.62,161,141,4,8,3,0,0,18985.61,20043.16,12799.85,20662.92,17570.97857142857,2735.568070775738,16435.04366666667,4346.346009518629
2017-08-05,11898.24,125,114,5,8,3,1,0,18361.62,15814.28,11456.81,22223.72,17011.544285714284,3459.364151781171,16090.861,4280.472693749308
2017-08-06,14181.14,122,108,6,8,3,1,0,11898.24,12944.87,12117.61,13237.87,17188.154285714285,3241.867081317286,16122.303333333333,4262.218808676625
2017-08-07,23257.84,182,157,0,8,3,0,0,14181.14,17146.08,18212.72,10206.86,18061.262857142858,3969.9138827717497,16557.336,4303.465231958208
2017-08-08,18661.63,159,146,1,8,3,0,0,23257.84,21745.04,17070.12,8070.58,17620.77571428571,3651.331301196224,16910.371,4007.4869224544964
2017-08-09,20508.27,160,141,2,8,3,0,0,18661.63,17999.35,11097.25,17326.93,17979.192857142854,3814.1924975181664,17016.415666666664,4060.629232917655
2017-08-10,19865.55,175,154,3,8,3,0,0,20508.27,18985.61,15693.93,19973.79,18104.89857142857,3867.0238506178976,17012.807666666668,4057.958108167113
2017-08-11,19139.34,163,137,4,8,3,0,0,19865.55,18361.62,20043.16,19042.22,18216.001428571428,3886.75093599367,17016.045,4059.671326758084
2017-08-12,13371.96,106,95,5,8,3,1,0,19139.34,11898.24,15814.28,14465.01,18426.532857142858,3509.0682653933254,16979.61,4088.1610307924116
2017-08-13,12264.29,108,91,6,8,3,1,0,13371.96,14181.14,12944.87,18745.15,18152.697142857145,3943.4827051973393,16763.58133333333,4162.210194791436
2017-08-14,17927.47,174,154,0,8,3,0,0,12264.29,23257.84,17146.08,10930.56,17391.215714285714,3246.4236986970723,16996.81166666667,4017.6096202662306
2017-08-15,23727.26,210,193,1,8,3,0,0,17927.47,18661.63,21745.04,13027.62,18114.87714285714,4043.540212065477,17353.466333333334,4126.544853907892
2017-08-16,21098.91,204,170,2,8,3,0,0,23727.26,20508.27,17999.35,21554.98,18199.254285714287,4107.464564419509,17338.264,4111.344684586787
2017-08-17,18357.91,169,155,3,8,3,0,0,21098.91,19865.55,18985.61,28238.2,17983.87714285714,4044.5747596903016,17008.921,3567.905631003609
2017-08-18,17132.01,160,146,4,8,3,0,0,18357.91,19139.34,18361.62,16545.34,17697.115714285716,4020.0843340401825,17028.476666666666,3566.884751074892
2017-08-19,12882.48,123,107,5,8,3,1,0,17132.01,13371.96,11898.24,17974.18,17627.19,4111.082302480301,16858.753333333334,3640.708964990327
2017-08-20,12873.78,118,103,6,8,3,1,0,12882.48,12264.29,14181.14,12799.85,17714.26,3983.0291678235794,16861.217666666667,3637.8907552882383
2017-08-21,22219.35,212,177,0,8,3,0,0,12873.78,17927.47,23257.84,11456.81,18327.385714285712,4336.012829081798,17219.968999999997,3617.1722122249157
2017-08-22,16627.12,161,136,1,8,3,0,0,22219.35,23727.26,18661.63,12117.61,17313.079999999998,3636.312054522651,17370.286,3489.262624064548
2017-08-23,15873.61,158,111,2,8,3,0,0,16627.12,21098.91,20508.27,18212.72,16566.60857142857,3244.8836672389953,17292.31566666667,3495.916923524363
